word,pos,ws,wsk,url,vis,top1,top3,top5,top10,top50
смм питер,29,76,8,/,89,2,2,2,3,22
smm агентство спб,32,1,1,/,89,2,2,2,3,22
брендинговое агентство спб,33,54,16,/,89,2,2,2,3,22
коммуникационные агентства спб,44,26,4,/,89,2,2,2,3,22
кроп медиа,1,49,34,/,89,2,2,2,3,22
кроп сайт,29,333,9,/,89,2,2,2,3,22
кропе,39,288301,2,/,89,2,2,2,3,22
медиа креатив,45,332,35,/,89,2,2,2,3,22
смм агентства спб,14,25,8,/,89,2,2,2,3,22
диджитал агентства спб,18,12,2,/,89,2,2,2,3,22
смм агентство спб,20,25,14,/,89,2,2,2,3,22
кропа,30,288364,65,/,89,2,2,2,3,22
crop сайт,40,82,8,/,89,2,2,2,3,22
герман архипов,42,22,1,/,89,2,2,2,3,22
crop media,1,218,55,/,89,2,2,2,3,22
медиа агентство спб,6,12,0,/,89,2,2,2,3,22
брендинговые агентства спб,22,54,15,/,89,2,2,2,3,22
креативное агентство спб,27,47,16,/,89,2,2,2,3,22
кропс,38,1078,51,/,89,2,2,2,3,22
смм недвижимость,40,56,8,/,89,2,2,2,3,22
лучшие креативные агентства россии,44,8,4,/,89,2,2,2,3,22
промогрупп медиа,45,31,7,/,89,2,2,2,3,22
ауринко делюкс солнечное,10,11,8,/aurinko-deluxe,0,0,0,0,1,3
aurinko deluxe,18,79,14,/aurinko-deluxe,0,0,0,0,1,3
ауринко делюкс,21,60,26,/aurinko-deluxe,0,0,0,0,1,3
клубный дом дуалист,23,68,29,/bfa-dualist,0,0,0,0,0,1
медиа 360,38,175,12,/branding,0,0,0,0,0,2
заказать брендинг,17,124,13,/branding,0,0,0,0,0,2
кроп it,15,6,0,/case,0,0,0,0,0,5
креат медиа гродно,43,2,2,/case,0,0,0,0,0,5
ооо кропс групп,48,28,22,/case,0,0,0,0,0,5
кроп ньюс,42,16,8,/case,0,0,0,0,0,5
компания кропс групп,39,2,2,/case,0,0,0,0,0,5
агрохолдинг юрма официальный сайт,38,11,0,/chuva,0,0,0,0,0,8
агрохолдинг юрма чебоксары,39,15,1,/chuva,0,0,0,0,0,8
chuva,28,1248,46,/chuva,0,0,0,0,0,8
агрохолдинг чува птицефабрика,30,7,6,/chuva,0,0,0,0,0,8
chuva курица,41,62,11,/chuva,0,0,0,0,0,8
агрохолдинг chuva,24,91,22,/chuva,0,0,0,0,0,8
чува,30,23412,166,/chuva,0,0,0,0,0,8
агрохолдинг юрма чебоксары официальный сайт,43,9,8,/chuva,0,0,0,0,0,8
контент мейкер кто это,38,319,200,/content-creator,0,0,0,0,0,3
как стать контент мейкером,33,113,17,/content-creator,0,0,0,0,0,3
контент мейкер это,38,847,366,/content-creator,0,0,0,0,0,3
кропстер,13,37,16,/cropster,0,0,0,0,0,1
деловые линии презентация,12,33,0,/dl-smm,0,0,0,0,0,1
финэкспортурал,42,80,31,/finexportural,0,0,0,0,0,1
флоем,44,1986,3,/floema,0,0,0,0,0,2
флоема,22,486,90,/floema,0,0,0,0,0,2
пск френдс,43,40,3,/friends-target,0,0,0,0,0,2
жк френдс спб официальный сайт,44,2,2,/friends-target,0,0,0,0,0,2
фирма зеленый слон,16,109,34,/green-slon,0,0,0,0,1,7
мак зеленый слон,18,8,3,/green-slon,0,0,0,0,1,7
компания зеленый слон,21,46,23,/green-slon,0,0,0,0,1,7
зеленый слон официальный сайт,17,118,64,/green-slon,0,0,0,0,1,7
ооо агроимпэкс зеленый слон,19,5,4,/green-slon,0,0,0,0,1,7
зеленый слон производитель,10,48,19,/green-slon,0,0,0,0,1,7
зеленый слон сайт,36,129,5,/green-slon,0,0,0,0,1,7
зеленый слон орехи отзывы,13,1,0,/greenelephant,0,0,0,0,0,2
бренд зеленый слон,12,16,7,/greenelephant,0,0,0,0,0,2
руководитель smm,7,133,1,/head-of-smm,0,0,0,0,4,5
руководитель смм отдела,8,22,3,/head-of-smm,0,0,0,0,4,5
руководитель smm отдела,9,39,2,/head-of-smm,0,0,0,0,4,5
head of smm,8,108,24,/head-of-smm,0,0,0,0,4,5
head of smm вакансии,11,8,2,/head-of-smm,0,0,0,0,4,5
менеджер по работе с инфлюенсерами,32,15,4,/influence-manager,0,0,0,0,0,7
инфлюенс менеджер вакансии,18,40,16,/influence-manager,0,0,0,0,0,7
инфлюенсер вакансии,27,78,1,/influence-manager,0,0,0,0,0,7
influence marketing вакансии,38,7,1,/influence-manager,0,0,0,0,0,7
livedune вакансии,40,10,7,/influence-manager,0,0,0,0,0,7
работа инфлюенсер вакансии,33,59,55,/influence-manager,0,0,0,0,0,7
инфлюенс маркетолог вакансии,36,13,5,/influence-manager,0,0,0,0,0,7
логотип кит,15,572,9,/kit,11,1,2,2,2,30
тк логотип,15,293,3,/kit,11,1,2,2,2,30
транспортная компания кит и gtd это одно и тоже или нет,17,16,16,/kit,11,1,2,2,2,30
логотипы тк,17,270,1,/kit,11,1,2,2,2,30
кит gtd транспортная компания,19,86,17,/kit,11,1,2,2,2,30
примеры логотипа транспортной компании,28,9,2,/kit,11,1,2,2,2,30
транспортная компания gtd официальный,32,31,2,/kit,11,1,2,2,2,30
логотип тк,12,270,7,/kit,11,1,2,2,2,30
тк gtd кит,18,85,28,/kit,11,1,2,2,2,30
логотип транспортная компания,20,333,7,/kit,11,1,2,2,2,30
транспортная компания логотип,22,399,13,/kit,11,1,2,2,2,30
эмблема транспортной компании,24,31,1,/kit,11,1,2,2,2,30
логотип транспортной компании картинки,25,24,18,/kit,11,1,2,2,2,30
логотип грузоперевозки картинки,27,19,15,/kit,11,1,2,2,2,30
gtd кит транспортная компания,30,91,15,/kit,11,1,2,2,2,30
кит лого,31,103,9,/kit,11,1,2,2,2,30
тк кит логотип,2,24,10,/kit,11,1,2,2,2,30
кит логотип,15,581,10,/kit,11,1,2,2,2,30
